0,No,Field,StarID,RA,Decl,X,Y,V,V_I,I,Vsig,Isig,B_V,B,Bsig
118,118,LMC_SC10,55180,5.167328,-68.91436,61.15,6184.59,18.894,0.660,18.233,0.035,0.048,0.582,19.480,0.061
119,119,LMC_SC10,55181,5.167233,-68.91414,56.71,6186.46,19.103,0.925,18.177,0.055,0.049,0.806,19.915,0.124
120,120,LMC_SC10,55182,5.168375,-68.91433,110.32,6185.17,18.838,0.230,18.609,0.042,0.077,0.077,18.916,0.077
121,121,LMC_SC10,55187,5.168494,-68.91411,116.03,6187.05,18.340,-0.108,18.448,0.028,0.063,-0.014,18.326,0.083
122,122,LMC_SC10,55188,5.167383,-68.91394,63.74,6188.31,19.235,0.993,18.240,0.062,0.043,0.796,20.036,0.136
123,123,LMC_SC10,55195,5.166117,-68.91358,4.28,6191.08,19.227,0.742,18.485,0.121,0.129,,,
124,124,LMC_SC10,55196,5.168525,-68.91361,117.37,6191.52,18.841,0.277,18.563,0.053,0.074,0.269,19.112,0.110
125,125,LMC_SC10,55200,5.167156,-68.91297,53.03,6196.66,19.077,0.953,18.122,0.054,0.041,,,
126,126,LMC_SC10,55206,5.167261,-68.91244,57.92,6201.25,19.563,1.012,18.550,0.113,0.085,0.219,19.786,0.102
127,127,LMC_SC10,55216,5.167808,-68.91208,83.70,6204.49,18.627,-0.055,18.682,0.034,0.061,-0.080,18.547,0.034
128,128,LMC_SC10,55217,5.168428,-68.91181,112.79,6207.08,19.565,1.108,18.455,0.128,0.059,0.192,19.760,0.110
129,129,LMC_SC10,55222,5.168622,-68.91161,121.85,6208.79,19.309,0.870,18.437,0.056,0.059,0.813,20.127,0.159
130,130,LMC_SC10,55225,5.166633,-68.91100,28.32,6213.67,18.291,0.132,18.159,0.041,0.050,,,
131,131,LMC_SC10,55226,5.167711,-68.91108,79.04,6213.17,18.823,0.405,18.418,0.043,0.060,0.252,19.078,0.100
132,132,LMC_SC10,55228,5.168392,-68.91106,111.02,6213.65,19.280,0.979,18.300,0.040,0.059,0.842,20.127,0.152
133,133,LMC_SC10,55231,5.166800,-68.91075,36.26,6215.83,19.193,0.920,18.273,0.083,0.049,,,
134,134,LMC_SC10,55235,5.166128,-68.91081,4.59,6215.10,,,19.832,,0.626,,,
135,135,LMC_SC10,55237,5.166411,-68.91047,17.85,6218.24,19.416,0.878,18.538,0.074,0.076,,,
136,136,LMC_SC10,55244,5.167236,-68.91011,56.64,6221.55,19.089,0.608,18.480,0.075,0.071,0.860,19.955,0.339
137,137,LMC_SC10,55252,5.167358,-68.90936,62.36,6228.00,18.781,0.220,18.560,0.045,0.170,0.215,18.998,0.138
138,138,LMC_SC10,55258,5.166636,-68.90908,28.42,6230.44,20.489,1.593,18.895,0.219,0.087,,,
139,139,LMC_SC10,55261,5.166372,-68.90875,15.95,6233.23,17.963,-0.089,18.053,0.044,0.046,,,
140,140,LMC_SC10,55263,5.168172,-68.90864,100.54,6234.66,18.653,-0.003,18.656,0.081,0.110,0.104,18.757,0.118
141,141,LMC_SC10,55264,5.166694,-68.90856,31.13,6234.83,19.333,0.462,18.871,0.135,0.109,,,
142,142,LMC_SC10,55265,5.167722,-68.90786,79.43,6241.36,19.213,1.150,18.062,0.197,0.059,1.636,20.858,0.361
143,143,LMC_SC10,55268,5.167656,-68.90778,76.23,6241.95,19.732,1.178,18.552,0.263,0.106,1.027,20.764,0.356
144,144,LMC_SC10,55269,5.167778,-68.90803,81.98,6239.72,19.857,1.320,18.535,0.202,0.082,0.094,19.953,0.306
145,145,LMC_SC10,55270,5.167458,-68.90775,66.98,6242.19,18.664,0.268,18.396,0.055,0.089,0.125,18.790,0.062
146,146,LMC_SC10,55272,5.167322,-68.90761,60.55,6243.44,18.574,0.838,17.736,0.164,0.106,0.670,19.249,0.381
147,147,LMC_SC10,55273,5.168383,-68.90761,110.40,6243.66,18.781,0.173,18.609,0.059,0.124,0.088,18.870,0.057
148,148,LMC_SC10,55275,5.166578,-68.90742,25.61,6244.86,19.246,0.964,18.282,0.064,0.052,,,
149,149,LMC_SC10,55277,5.166767,-68.90722,34.49,6246.46,18.306,0.089,18.217,0.032,0.059,,,
150,150,LMC_SC10,55280,5.167497,-68.90700,68.77,6248.61,18.213,0.011,18.203,0.039,0.056,-0.099,18.113,0.078
151,151,LMC_SC10,55285,5.166839,-68.90675,37.88,6250.78,18.288,0.279,18.009,0.045,0.051,,,
152,152,LMC_SC10,55287,5.166769,-68.90678,34.55,6250.55,19.536,0.902,18.632,0.108,0.070,,,
153,153,LMC_SC10,55288,5.167606,-68.90681,73.87,6250.44,19.378,0.803,18.573,0.083,0.063,0.762,20.144,0.205
154,154,LMC_SC10,55291,5.166614,-68.90642,27.27,6253.65,19.100,1.137,17.962,0.065,0.041,,,
155,155,LMC_SC10,55294,5.166117,-68.90608,3.86,6256.36,19.076,0.909,18.168,0.050,0.043,,,
156,156,LMC_SC10,55295,5.167169,-68.90614,53.29,6256.08,18.678,0.653,18.024,0.054,0.043,,,
157,157,LMC_SC10,55296,5.167772,-68.90619,81.73,6255.86,19.094,0.969,18.124,0.051,0.042,0.894,19.994,0.124
158,158,LMC_SC10,55298,5.167356,-68.90606,62.11,6256.94,18.838,0.812,18.025,0.043,0.044,0.756,19.598,0.064
159,159,LMC_SC10,55299,5.167550,-68.90614,71.26,6256.27,19.017,0.654,18.362,0.120,0.066,-0.331,18.686,0.061
160,160,LMC_SC10,55303,5.166733,-68.90583,32.87,6258.64,18.131,0.018,18.113,0.029,0.055,,,
